

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.018  000.018: --- NVIM STARTING ---
000.197  000.179: event init
000.375  000.178: early init
001.192  000.818: locale set
001.255  000.062: init first window
001.826  000.571: inits 1
001.846  000.020: window checked
001.852  000.006: parsing arguments
002.383  000.092  000.092: require('vim.shared')
002.504  000.045  000.045: require('vim._meta')
002.507  000.120  000.075: require('vim._editor')
002.508  000.260  000.048: require('vim._init_packages')
002.510  000.398: init lua interpreter
005.154  002.644: expanding arguments
005.291  000.137: inits 2
005.724  000.433: init highlight
005.726  000.002: waiting for UI
008.681  002.954: done waiting for UI
008.698  000.017: init screen for UI
008.994  000.297: init default mappings
009.094  000.099: init default autocommands
013.876  000.090  000.090: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/ftplugin.vim
014.372  000.043  000.043: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/indent.vim
016.682  000.481  000.481: require('packer.util')
016.724  001.685  001.205: require('packer')
017.255  000.528  000.528: require('packer.log')
018.519  000.454  000.454: require('packer.async')
019.587  000.439  000.439: require('packer.result')
019.593  001.067  000.628: require('packer.jobs')
019.601  002.308  000.787: require('packer.plugin_utils')
020.299  000.672  000.672: require('packer.snapshot')
022.695  000.006  000.006: require('vim.F')
022.736  001.348  001.342: require('vim.diagnostic')
022.742  001.775  000.427: require('neotest.config')
022.744  002.027  000.252: require('neotest')
024.910  000.334  000.334: require('plenary.tbl')
024.916  000.637  000.302: require('plenary.vararg.rotate')
024.917  000.868  000.232: require('plenary.vararg')
025.182  000.263  000.263: require('plenary.errors')
025.543  000.358  000.358: require('plenary.functional')
025.551  001.816  000.327: require('plenary.async.async')
026.828  000.260  000.260: require('plenary.async.structs')
026.835  000.624  000.363: require('plenary.async.control')
026.840  001.023  000.399: require('plenary.async.util')
026.842  001.288  000.265: require('plenary.async.tests')
026.844  003.396  000.291: require('plenary.async')
027.141  000.295  000.295: require('vim.ui')
027.146  003.910  000.219: require('neotest.async')
027.514  000.173  000.173: require('neotest.lib.require')
027.521  000.373  000.200: require('neotest.lib')
027.842  000.319  000.319: require('neotest.logging')
028.175  000.330  000.330: require('neotest-jest.util')
029.785  000.395  000.395: require('plenary.bit')
029.818  000.020  000.020: require('ffi')
029.836  001.265  000.851: require('plenary.path')
031.669  001.831  001.831: require('plenary.filetype')
032.093  000.203  000.203: require('neotest.lib.func_util.memoize')
032.097  000.424  000.221: require('neotest.lib.func_util')
