1621442935.628873 client started (61478): version 3.2, socket /private/tmp/tmux-501/default, protocol 8
1621442935.628925 on Darwin 20.3.0 Darwin Kernel Version 20.3.0: Thu Jan 21 00:07:06 PST 2021; root:xnu-7195.81.3~1/RELEASE_X86_64
1621442935.628951 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1621442935.629006 flags are 0x18010000
1621442935.629024 socket is /private/tmp/tmux-501/default
1621442935.629050 trying connect
1621442935.629086 connect failed: Connection refused
1621442935.629218 lock file is /private/tmp/tmux-501/default.lock
1621442935.629345 flock succeeded
1621442935.629360 got lock (6)
1621442935.629374 trying connect
1621442935.629394 connect failed: Connection refused
1621442935.630042 add peer 0x7f9cf8048000: 7 (0x0)
1621442935.632288 sending message 100 to peer 0x7f9cf8048000 (4 bytes)
1621442935.632322 sending message 111 to peer 0x7f9cf8048000 (8 bytes)
1621442935.632337 sending message 101 to peer 0x7f9cf8048000 (12 bytes)
1621442935.632349 sending message 109 to peer 0x7f9cf8048000 (4 bytes)
1621442935.632363 sending message 102 to peer 0x7f9cf8048000 (13 bytes)
1621442935.632377 sending message 108 to peer 0x7f9cf8048000 (27 bytes)
1621442935.632390 sending message 112 to peer 0x7f9cf8048000 (70 bytes)
1621442935.632406 sending message 112 to peer 0x7f9cf8048000 (5 bytes)
1621442935.632419 sending message 112 to peer 0x7f9cf8048000 (6 bytes)
1621442935.632429 sending message 112 to peer 0x7f9cf8048000 (6 bytes)
1621442935.632440 sending message 112 to peer 0x7f9cf8048000 (10 bytes)
1621442935.632452 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.632466 sending message 112 to peer 0x7f9cf8048000 (14 bytes)
1621442935.632478 sending message 112 to peer 0x7f9cf8048000 (19 bytes)
1621442935.632491 sending message 112 to peer 0x7f9cf8048000 (11 bytes)
1621442935.632502 sending message 112 to peer 0x7f9cf8048000 (21 bytes)
1621442935.632513 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.632526 sending message 112 to peer 0x7f9cf8048000 (7 bytes)
1621442935.632537 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.632551 sending message 112 to peer 0x7f9cf8048000 (7 bytes)
1621442935.632564 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.632577 sending message 112 to peer 0x7f9cf8048000 (9 bytes)
1621442935.632590 sending message 112 to peer 0x7f9cf8048000 (21 bytes)
1621442935.632604 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.632618 sending message 112 to peer 0x7f9cf8048000 (9 bytes)
1621442935.632631 sending message 112 to peer 0x7f9cf8048000 (16 bytes)
1621442935.632649 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.632663 sending message 112 to peer 0x7f9cf8048000 (9 bytes)
1621442935.632674 sending message 112 to peer 0x7f9cf8048000 (9 bytes)
1621442935.632687 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.632699 sending message 112 to peer 0x7f9cf8048000 (8 bytes)
1621442935.632712 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.632723 sending message 112 to peer 0x7f9cf8048000 (7 bytes)
1621442935.632737 sending message 112 to peer 0x7f9cf8048000 (7 bytes)
1621442935.632749 sending message 112 to peer 0x7f9cf8048000 (9 bytes)
1621442935.632762 sending message 112 to peer 0x7f9cf8048000 (6 bytes)
1621442935.632774 sending message 112 to peer 0x7f9cf8048000 (9 bytes)
1621442935.632786 sending message 112 to peer 0x7f9cf8048000 (15 bytes)
1621442935.632801 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.632813 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.632826 sending message 112 to peer 0x7f9cf8048000 (8 bytes)
1621442935.632838 sending message 112 to peer 0x7f9cf8048000 (14 bytes)
1621442935.632850 sending message 112 to peer 0x7f9cf8048000 (9 bytes)
1621442935.632861 sending message 112 to peer 0x7f9cf8048000 (10 bytes)
1621442935.632875 sending message 112 to peer 0x7f9cf8048000 (10 bytes)
1621442935.632886 sending message 112 to peer 0x7f9cf8048000 (10 bytes)
1621442935.632900 sending message 112 to peer 0x7f9cf8048000 (10 bytes)
1621442935.632929 sending message 112 to peer 0x7f9cf8048000 (11 bytes)
1621442935.632938 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.632947 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.632973 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.632980 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.632988 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.632996 sending message 112 to peer 0x7f9cf8048000 (11 bytes)
1621442935.633004 sending message 112 to peer 0x7f9cf8048000 (11 bytes)
1621442935.633014 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633022 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633031 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633040 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633050 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633061 sending message 112 to peer 0x7f9cf8048000 (9 bytes)
1621442935.633070 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633079 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633089 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633115 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633123 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633131 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633140 sending message 112 to peer 0x7f9cf8048000 (8 bytes)
1621442935.633148 sending message 112 to peer 0x7f9cf8048000 (11 bytes)
1621442935.633157 sending message 112 to peer 0x7f9cf8048000 (11 bytes)
1621442935.633165 sending message 112 to peer 0x7f9cf8048000 (11 bytes)
1621442935.633173 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633181 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633189 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633197 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633205 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633213 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
